,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
177,1,0.02,0.001,0.1,17.8,0.01,0.08859584263582493
178,1,0.02,0.001,0.1,17.900000000000002,0.01,0.08848146822722106
179,1,0.02,0.001,0.1,18.000000000000004,0.01,0.08836568604927336
180,1,0.02,0.001,0.1,18.1,0.01,0.08824852425271461
181,1,0.02,0.001,0.1,18.200000000000003,0.01,0.08813001048679275
182,1,0.02,0.001,0.1,18.3,0.01,0.0880101719092686
183,1,0.02,0.001,0.1,18.400000000000002,0.01,0.08788903519618357
184,1,0.02,0.001,0.1,18.500000000000004,0.01,0.0877666265514067
185,1,0.02,0.001,0.1,18.6,0.01,0.08764297171595753
186,1,0.02,0.001,0.1,18.700000000000003,0.01,0.08751809597712447
187,1,0.02,0.001,0.1,18.8,0.01,0.08739202417737048
188,1,0.02,0.001,0.1,18.900000000000002,0.01,0.08726478072304134
189,1,0.02,0.001,0.1,19.000000000000004,0.01,0.08713638959287595
190,1,0.02,0.001,0.1,19.1,0.01,0.08700687434632635
191,1,0.02,0.001,0.1,19.200000000000003,0.01,0.08687625813169247
192,1,0.02,0.001,0.1,19.300000000000004,0.01,0.08674456369407417
193,1,0.02,0.001,0.1,19.400000000000002,0.01,0.08661181338314664
194,1,0.02,0.001,0.1,19.500000000000004,0.01,0.08647802916076598
195,1,0.02,0.001,0.1,19.6,0.01,0.08634323260840501
196,1,0.02,0.001,0.1,19.700000000000003,0.01,0.08620744493442423
197,1,0.02,0.001,0.1,19.800000000000004,0.01,0.08607068698118751
198,1,0.02,0.001,0.1,19.900000000000002,0.01,0.08593297923201773
199,1,0.02,0.001,0.1,20.000000000000004,0.01,0.08579434181800508
200,1,0.02,0.001,0.1,20.1,0.01,0.08565479452466404
201,1,0.02,0.001,0.1,20.200000000000003,0.01,0.08551435679844747
202,1,0.02,0.001,0.1,20.300000000000004,0.01,0.08537304775312268
203,1,0.02,0.001,0.1,20.400000000000002,0.01,0.08523088617600581
204,1,0.02,0.001,0.1,20.500000000000004,0.01,0.08508789053406698
205,1,0.02,0.001,0.1,20.6,0.01,0.08494407897990111
206,1,0.02,0.001,0.1,20.700000000000003,0.01,0.08479946935757497
207,1,0.02,0.001,0.1,20.800000000000004,0.01,0.08465407920834783
208,1,0.02,0.001,0.1,20.900000000000002,0.01,0.08450792577627228
209,1,0.02,0.001,0.1,21.000000000000004,0.01,0.08436102601367565
210,1,0.02,0.001,0.1,21.1,0.01,0.08421339658652685
211,1,0.02,0.001,0.1,21.200000000000003,0.01,0.08406505387969065
212,1,0.02,0.001,0.1,21.300000000000004,0.01,0.08391601400207273
213,1,0.02,0.001,0.1,21.400000000000002,0.01,0.08376629279165533
214,1,0.02,0.001,0.1,21.500000000000004,0.01,0.08361590582043107
215,1,0.02,0.001,0.1,21.6,0.01,0.08346486839923131
216,1,0.02,0.001,0.1,21.700000000000003,0.01,0.08331319558245917
217,1,0.02,0.001,0.1,21.800000000000004,0.01,0.0831609021727185
218,1,0.02,0.001,0.1,21.900000000000002,0.01,0.08300800272535659
219,1,0.02,0.001,0.1,22.000000000000004,0.01,0.08285451155290473
220,1,0.02,0.001,0.1,22.1,0.01,0.08270044272943469
221,1,0.02,0.001,0.1,22.200000000000003,0.01,0.08254581009482234
222,1,0.02,0.001,0.1,22.300000000000004,0.01,0.08239062725892914
223,1,0.02,0.001,0.1,22.400000000000002,0.01,0.08223490760569378
224,1,0.02,0.001,0.1,22.500000000000004,0.01,0.08207866429714578
225,1,0.02,0.001,0.1,22.6,0.01,0.0819219102773343
226,1,0.02,0.001,0.1,22.700000000000003,0.01,0.081764658276183
227,1,0.02,0.001,0.1,22.800000000000004,0.01,0.08160692081326186
228,1,0.02,0.001,0.1,22.900000000000002,0.01,0.08144871020148951
229,1,0.02,0.001,0.1,23.000000000000004,0.01,0.081290038550758
230,1,0.02,0.001,0.1,23.1,0.01,0.08113091777148591
231,1,0.02,0.001,0.1,23.200000000000003,0.01,0.08097135957810467
232,1,0.02,0.001,0.1,23.300000000000004,0.01,0.08081137549247167
233,1,0.02,0.001,0.1,23.400000000000002,0.01,0.08065097684721757
234,1,0.02,0.001,0.1,23.500000000000004,0.01,0.08049017478903078
235,1,0.02,0.001,0.1,23.6,0.01,0.08032898028187338
236,1,0.02,0.001,0.1,23.700000000000003,0.01,0.08016740411013601
237,1,0.02,0.001,0.1,23.800000000000004,0.01,0.08000545688173469
238,1,0.02,0.001,0.1,23.900000000000002,0.01,0.07984314903113993
239,1,0.02,0.001,0.1,24.000000000000004,0.01,0.0796804908223546
240,1,0.02,0.001,0.1,24.1,0.01,0.07951749235183136
241,1,0.02,0.001,0.1,24.200000000000003,0.01,0.07935416355133332
242,1,0.02,0.001,0.1,24.300000000000004,0.01,0.07919051419073969
243,1,0.02,0.001,0.1,24.400000000000002,0.01,0.07902655388080071
244,1,0.02,0.001,0.1,24.500000000000004,0.01,0.07886229207583527
245,1,0.02,0.001,0.1,24.6,0.01,0.078697738076381
246,1,0.02,0.001,0.1,24.700000000000003,0.01,0.0785329010317917
247,1,0.02,0.001,0.1,24.800000000000004,0.01,0.07836778994278713
248,1,0.02,0.001,0.1,24.900000000000002,0.01,0.07820241366395386
249,1,0.02,0.001,0.1,25.000000000000004,0.01,0.07803678090619814
250,1,0.02,0.001,0.1,25.1,0.01,0.0778709002391546
251,1,0.02,0.001,0.1,25.200000000000003,0.01,0.07770478009354781
252,1,0.02,0.001,0.1,25.300000000000004,0.01,0.07753842876351127
253,1,0.02,0.001,0.1,25.400000000000002,0.01,0.07737185440886124
254,1,0.02,0.001,0.1,25.500000000000004,0.01,0.07720506505732991
255,1,0.02,0.001,0.1,25.6,0.01,0.07703806860675798
256,1,0.02,0.001,0.1,25.700000000000003,0.01,0.07687087282724178
257,1,0.02,0.001,0.1,25.800000000000004,0.01,0.07670348536324799
258,1,0.02,0.001,0.1,25.900000000000002,0.01,0.07653591373568219
259,1,0.02,0.001,0.1,26.000000000000004,0.01,0.07636816534392529
260,1,0.02,0.001,0.1,26.1,0.01,0.07620024746782851
261,1,0.02,0.001,0.1,26.200000000000003,0.01,0.07603216726967363
262,1,0.02,0.001,0.1,26.300000000000004,0.01,0.07586393179609761
263,1,0.02,0.001,0.1,26.400000000000002,0.01,0.07569554797998165
264,1,0.02,0.001,0.1,26.500000000000004,0.01,0.07552702264230444
265,1,0.02,0.001,0.1,26.6,0.01,0.07535836249396705
266,1,0.02,0.001,0.1,26.700000000000003,0.01,0.07518957413757762
267,1,0.02,0.001,0.1,26.800000000000004,0.01,0.07502066406920868
268,1,0.02,0.001,0.1,26.900000000000002,0.01,0.07485163868012265
269,1,0.02,0.001,0.1,27.000000000000004,0.01,0.07468250425846373
270,1,0.02,0.001,0.1,27.1,0.01,0.07451326699092195
271,1,0.02,0.001,0.1,27.200000000000003,0.01,0.07434393296436712
272,1,0.02,0.001,0.1,27.300000000000004,0.01,0.07417450816745126
273,1,0.02,0.001,0.1,27.400000000000002,0.01,0.07400499849218684
274,1,0.02,0.001,0.1,27.500000000000004,0.01,0.07383540973549388
275,1,0.02,0.001,0.1,27.6,0.01,0.07366574760071795
276,1,0.02,0.001,0.1,27.700000000000003,0.01,0.07349601769912845
277,1,0.02,0.001,0.1,27.800000000000004,0.01,0.07332622555138124
278,1,0.02,0.001,0.1,27.900000000000002,0.01,0.07315637658896362
279,1,0.02,0.001,0.1,28.000000000000004,0.01,0.07298647615560865
280,1,0.02,0.001,0.1,28.1,0.01,0.07281652950868625
281,1,0.02,0.001,0.1,28.200000000000003,0.01,0.07264654182057247
282,1,0.02,0.001,0.1,28.300000000000004,0.01,0.07247651817999004
283,1,0.02,0.001,0.1,28.400000000000002,0.01,0.07230646359333116
284,1,0.02,0.001,0.1,28.500000000000004,0.01,0.0721363829859506
285,1,0.02,0.001,0.1,28.6,0.01,0.07196628120344539
286,1,0.02,0.001,0.1,28.700000000000003,0.01,0.07179616301290341
287,1,0.02,0.001,0.1,28.800000000000004,0.01,0.07162603310413454
288,1,0.02,0.001,0.1,28.900000000000002,0.01,0.07145589609088343
289,1,0.02,0.001,0.1,29.000000000000004,0.01,0.07128575651201605
290,1,0.02,0.001,0.1,29.1,0.01,0.07111561883268806
291,1,0.02,0.001,0.1,29.200000000000003,0.01,0.07094548744549473
292,1,0.02,0.001,0.1,29.300000000000004,0.01,0.07077536667160075
293,1,0.02,0.001,0.1,29.400000000000002,0.01,0.07060526076184771
294,1,0.02,0.001,0.1,29.500000000000004,0.01,0.07043517389784731
295,1,0.02,0.001,0.1,29.6,0.01,0.07026511019305216
296,1,0.02,0.001,0.1,29.700000000000003,0.01,0.07009507369381279
297,1,0.02,0.001,0.1,29.800000000000004,0.01,0.06992506838041092
298,1,0.02,0.001,0.1,29.900000000000002,0.01,0.0697550981680813
299,1,0.02,0.001,0.1,30.000000000000004,0.01,0.06958516690801225
300,1,0.02,0.001,0.1,30.1,0.01,0.06941527838833153
